name	season
ライブオン CARDLIVER 翔	2008年秋
てんぷる	2023年
ぐんまちゃん シーズン2	2023年春
ひろがるスカイ！プリキュア	2023年冬
ゾン100～ゾンビになるまでにしたい100のこと～	2023年夏
ひきこまり吸血姫の悶々	2023年
Call Star -ボクは本当にダメな星？-	2023年冬
夜桜さんちの大作戦	2024年
カワイスギクライシス	2023年春
道産子ギャルはなまらめんこい	2023年
「FLAGLIA」～なつやすみの物語～	2023年冬
おかしな転生	2023年夏
万聖街 (日本語吹替版)	2022年秋
私の推しは悪役令嬢。	2023年
魔術士オーフェンはぐれ旅 アーバンラマ編	2023年冬
ワールドダイスター	2023年春
ブルバスター	2023年
夢見る男子は現実主義者	2023年
デッドマウント・デスプレイ	2023年春
事情を知らない転校生がグイグイくる。	2023年
絆のアリル	2023年
UniteUp!	2023年冬
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。	2023年夏
とんでもスキルで異世界放浪メシ	2023年冬
Buddy Daddies	2023年冬
強くてニューサーガ	2023年夏
天国大魔境	2023年
ジョジョの奇妙な冒険 ストーンオーシャン 第3期	2023年冬
がんばれ！長州くん	2022年夏
REVENGER	2023年冬
ダンジョンに出会いを求めるのは間違っているだろうか IV 深章 厄災篇	2023年冬
アルスの巨獣	2023年冬
山田くんとLv999の恋をする	2023年春
Fate/strange Fake -Whispers of Dawn-	2023年夏
女体化した僕を騎士様達がねらってます	2022年秋
にじよん あにめーしょん	2023年冬
女神のカフェテラス	2023年春
ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～	2023年
魔法使いの嫁 SEASON2	2023年春
機動戦士ガンダム 水星の魔女 PROLOGUE	2022年夏
齢5000年の草食ドラゴン、いわれなき邪竜認定	2023年冬
アンデッドアンラック	2023年
ツルネ ―つながりの一射―	2023年冬
転生王女と天才令嬢の魔法革命	2023年冬
ベルセルク 黄金時代篇 MEMORIAL EDITION	2022年秋
ハーレムきゃんぷっ！	2022年秋
王様ランキング 勇気の宝箱	2023年春
