name	writer
魔導具師ダリヤはうつむかない	甘岸久弥
【3/10書籍2巻発売】ゴブリン令嬢と転生貴族が幸せになるまで　　婚約者の彼女のための前世知識の上手な使い方	新天新地
【コミック2月発売】ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する	雨川 透子
聖女の魔力は万能です	橘由華
転生した大聖女は、聖女であることをひた隠す	十夜
ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる　～ホワイトな宮廷で、幸せな新生活を始めます！～【Web版】	葉月秋水
真実の愛を見つけたと言われて婚約破棄されたので、復縁を迫られても今さらもう遅いです！【書籍化・コミカライズ連載中】	彩戸ゆめ
【書籍3/17発売】無能才女は悪女になりたい～義妹の身代わりで嫁いだ令嬢、公爵様の溺愛に気づかない～	一分咲
【web版】無口な公爵令嬢と冷徹な皇帝～前世拾った子供が皇帝になっていました～	ベキオ
悪役令嬢、ブラコンにジョブチェンジします	浜千鳥
小国の侯爵令嬢は敵国にて覚醒する 【書籍発売中・コミカライズ】	守雨
手札が多めのビクトリア〜元工作員は人生をやり直し中〜【書籍発売中・コミック連載中】	守雨
転生王女は今日も旗を叩き折る。	ビス
【書籍4巻3/10発売】元、落ちこぼれ公爵令嬢です。（WEB版）	一分咲
悪役令嬢は溺愛ルートに入りました！？	十夜
今度は絶対に邪魔しませんっ！	空谷玲奈
【コミカライズ配信中】愛さないといわれましても～元魔王の伯爵令嬢は生真面目軍人に餌付けをされて幸せになる【１巻発売中】	豆田　麦
僕は婚約破棄なんてしませんからね	ジュピタースタジオ
悪役令嬢の中の人【書籍化・コミカライズ】	まきぶろ
【書籍化・コミカライズ】三食昼寝付き生活を約束してください、公爵様	チカフジ　ユキ
【書籍化＆コミカライズ】わたし、聖女じゃありませんから	長月 おと
ティアムーン帝国物語　～断頭台から始まる、姫の転生逆転ストーリー～	餅月望
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…	山口悟
【書籍化・コミカライズ】ループ中の虐げられ令嬢だった私、今世は最強聖女なうえに溺愛モードみたいです（WEB版）	一分咲
【書籍化】美人の姉が嫌がったのでどう見ても姿絵が白豚の次期伯爵に嫁ぎましたところ	真波潜
義妹が聖女だからと婚約破棄されましたが、私は妖精の愛し子です	桜井ゆきな
悪役令嬢の中の人	まきぶろ
聖女じゃなかったので、王宮でのんびりご飯を作ることにしました	神山 りお
婚約者に裏切られたので、子爵令嬢から王妃付き侍女にジョブチェンジしてみた	雉間ちまこ
真の聖女である私は追放されました。だからこの国はもう終わりです【書籍化】	鬱沢色素
【書籍化＆コミカライズ】関係改善をあきらめて距離をおいたら、塩対応だった婚約者が絡んでくるようになりました	雨野六月
歴史に残る悪女になるぞ	大木戸　いずみ
１００日後に死ぬ悪役令嬢は毎日がとても楽しい。（Web版）	ゆいレギナ
【番外編】ふつつかな悪女ではございますがWeb版	中村 颯希
【WEB版】転生したら１５歳の王妃でした　〜聖女のチートなんて興味がないし、気ままにおいしいごはんを作ります～	斧名田マニマニ
【Web版】オリビア魔石宝飾店へようこそ～家と店を追い出されたので、王都に店をかまえたら、なぜか元婚約者と義妹の結婚式に出ろと言われました～	優木凛々
弱気MAX令嬢なのに、辣腕婚約者様の賭けに乗ってしまった	小田 ヒロ
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。〜ラスボスチートと王女の権威で救える人は救いたい〜	天壱
婚約破棄を狙って記憶喪失のフリをしたら、素っ気ない態度だった婚約者が「記憶を失う前の君は、俺にベタ惚れだった」という、とんでもない嘘をつき始めた	琴子
【完結】完璧すぎて可愛げがないと婚約破棄された聖女は隣国に売られる【コミックス第２巻発売中】	冬月光輝
やり直し令嬢は竜帝陛下を攻略中	永瀬さらさ
【書籍化＆コミカライズ決定】義姉の代わりに、余命一年と言われる侯爵子息様と婚約することになりました	瑪々子
転生先で捨てられたので、もふもふ達とお料理します　　　～お飾り王妃はマイペースに最強です～	桜井 悠
【コミカライズ・書籍化】ななしの皇女と冷酷皇帝 ～虐げられた幼女、今世では龍ともふもふに溺愛されています～	藍上イオタ
悪虐聖女ですが、愛する旦那さまのお役に立ちたいです。（とはいえ、嫌われているのですが）	雨川 透子
後悔するならご勝手に～あなたの選んだ聖女様とどうぞお幸せに～	桜井ゆきな
【2巻10/4】嫌われ妻は、英雄将軍と離婚したい！いきなり帰ってきて溺愛なんて信じません。	柊 一葉
【コミカライズ】女神様がやっちまいなとの思し召しです	まゆらん
聖女が来るから君を愛することはないと言われたのでお飾り王妃に徹していたら、夫と聖女の様子がおかしいのですが	宮之みやこ＠「5歳聖女」3/10発売
家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら	琴子
謙虚、堅実をモットーに生きております！	ひよこのケーキ
 お隣の天使様にいつの間にか駄目人間にされていた件	佐伯さん
お見合いしたくなかったので、無理難題な条件をつけたら同級生が来た件について【第六巻　スニーカー文庫より12／28発売！】	桜木桜
【web版】クラスで陰キャの俺が実は大人気バンドのボーカルな件	夜桜ユノ【『クラスで陰キャ』コミック発売しました！】
俺にトラウマを与えた女子達がチラチラ見てくるけど、残念ですが手遅れです	御堂ユラギ
【書籍化】有名Vtuberの兄だけど、義妹が配信切り忘れたら、なぜか俺が有名になった～陰キャだからと振られた俺が、超人気ブラコン妹の兄として注目され、期待の新人Vとしてデビューするけど今更なんですか？	茨木野
【WEB版】高校生WEB作家のモテ生活 「あんたが神作家なわけないでしょ」と僕を振った幼馴染が後悔してるけどもう遅い【書籍版好評発売中！】	茨木野
日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人	アサヒ
風間君の嘘は彼女達にはバレバレです　～入れ替わりは元に戻ってからがラブコメです！～	まきま
【書籍化】窓際編集とバカにされ、妻に浮気されたその日から、双子JKと同居することになった〜新しい職場と美少女達が家で待つ幸せな新生活を送ってるので、今更有能編集だったと気付いて謝られても相手にしません	茨木野
ネトゲの嫁が人気アイドルだった件　～クール系の彼女は現実でも嫁のつもりでいる～	あボーン
夢見る男子は現実主義者	おけまる
実家に帰ったら甘やかされ生活が始まりました	月夜乃 古狸
【12/1発売】俺は知らないうちに学校一の美少女を口説いていたらしい〜バイト先の相談相手に俺の想い人の話をすると彼女はなぜか照れ始める〜	午前の緑茶
転生先が現代日本人ってふざけんなっ！ って思ったけどそれが普通だし案外充実してる	せん
隣の席になった美少女が惚れさせようとからかってくるがいつの間にか返り討ちにしていた	荒三水
転生者の私に挑んでくる無謀で有望な少女の話	小東のら
現代社会で乙女ゲームの悪役令嬢をするのはちょっと大変	二日市とふろう (旧名:北部九州在住)
転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件【web版】	雲雀湯
モテない陰キャ平社員の俺はミリオンセラー書籍化作家であることを隠したい！　～転勤先の事務所の美女3人がＷＥＢ作家で俺の大ファンらしく、俺に抱かれてもいいらしい、マジムリヤバイ！〜	鉄人じゅす
戦地から帰ってきたタカシ君。普通に高校生活を送りたい	安い芸
【Web版】陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです	結石
『書籍化！』百合ゲー世界なのに男の俺がヒロイン姉妹を幸せにしてしまうまで	流石ユユシタ
【WEB版】高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました	サケ/坂石遊作
【連載版】「オタクはキモいから無理」と恋人に浮気され振られた夜、オタクに優しいギャルと付き合うことになった〜実は優良物件だったと今更気づいても遅い、清楚系美人となった趣味の合う元ギャルとラブラブです	茨木野
【書籍化】幼馴染彼女のモラハラがひどいんで絶縁宣言してやった	斧名田マニマニ
学校では地味な陰キャとバカにされている俺は実はボディーガード　〜地味に生きたいのに、以前助けた有名人の幼馴染が離してくれない〜	木嶋隆太
お前みたいなヒロインがいてたまるか！	白猫
ホラー女優が天才子役に転生しました　～今度こそハリウッドを目指します！～	鉄箱
【web版】会話もしない連れ子の妹が、長年一緒にバカやってきたネトゲのフレだった	雲雀湯
幼馴染も義妹も……誰も俺を信じてくれなかった。今さら信じているなんて言われても、もう手遅れです	野良うさぎ(うさこ)
【書籍版発売中】S級学園の自称「普通」、可愛すぎる彼女たちにグイグイ来られてバレバレです。	丸山ひま。
転生リベンジ芸能人ライフ～不遇だったアイドルオタクな青年、謎の死を遂げた推しアイドル少女の命を救うため、二度目の人生で芸能界へ飛び込む～	ハーーナ殿下
手塩にかけて育てたアイドルたちに裏切られた俺は、自殺しようとしていた元人気アイドルのプロデューサーになる	とによ
友人キャラの俺がモテまくるわけないだろ？	【世界一】とにかく可愛い超巨乳美少女ＪＫ郷家愛花２４歳【可愛い】
ラブコメ漫画に入ってしまったので、推しの負けヒロインを全力で幸せにする	shiryu
霜月さんはモブが好き	八神鏡@『霜月さんはモブが好き』コミカライズ＆4巻発売中！
【本編完結済み・書籍化】世界一かわいい俺の幼馴染が、今日も可愛い	青季 ふゆ
【3巻10/25発売】月50万もらっても生き甲斐のない隣のお姉さんに30万で雇われて「おかえり」って言うお仕事が楽しい【書籍化＆コミカライズ】	黄波戸井ショウリ
冤罪で大切な人達に傷付けられた少年、無実の罪だと分かった後に謝られても絶対に許さない	リョウタ
君のせいで今日も死ねない	飴月
【書籍化】陰キャだった俺の青春リベンジ 天使すぎるあの娘と歩むReライフ	慶野由志
【完結】高校生に戻った俺、両想いだったはずの幼馴染に振られたので、学校一の美少女と心中してみた	【世界一】とにかく可愛い超巨乳美少女ＪＫ郷家愛花２４歳【可愛い】
センパイ、自宅警備員の雇用はいかがですか？【4月20日 二巻発売予定】	二上圭＠じたこよ三巻、１１月発売。
幼馴染がカースト上位に君臨している	Cost
