title	writer	genre	url
魔導具師ダリヤはうつむかない	甘岸久弥	異世界(恋愛)	https://ncode.syosetu.com/N7787EQ
【3/10書籍2巻発売】ゴブリン令嬢と転生貴族が幸せになるまで　　婚約者の彼女のための前世知識の上手な使い方	新天新地	異世界(恋愛)	https://ncode.syosetu.com/N0174GY
【コミック2月発売】ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する	雨川 透子	異世界(恋愛)	https://ncode.syosetu.com/N1784GA
聖女の魔力は万能です	橘由華	異世界(恋愛)	https://ncode.syosetu.com/N8139DG
転生した大聖女は、聖女であることをひた隠す	十夜	異世界(恋愛)	https://ncode.syosetu.com/N7673FF
ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる　～ホワイトな宮廷で、幸せな新生活を始めます！～【Web版】	葉月秋水	異世界(恋愛)	https://ncode.syosetu.com/N8120GP
真実の愛を見つけたと言われて婚約破棄されたので、復縁を迫られても今さらもう遅いです！【書籍化・コミカライズ連載中】	彩戸ゆめ	異世界(恋愛)	https://ncode.syosetu.com/N4616GO
【書籍3/17発売】無能才女は悪女になりたい～義妹の身代わりで嫁いだ令嬢、公爵様の溺愛に気づかない～	一分咲	異世界(恋愛)	https://ncode.syosetu.com/N7817HO
【web版】無口な公爵令嬢と冷徹な皇帝～前世拾った子供が皇帝になっていました～	ベキオ	異世界(恋愛)	https://ncode.syosetu.com/N4400GK
悪役令嬢、ブラコンにジョブチェンジします	浜千鳥	異世界(恋愛)	https://ncode.syosetu.com/N6255FH
小国の侯爵令嬢は敵国にて覚醒する 【書籍発売中・コミカライズ】	守雨	異世界(恋愛)	https://ncode.syosetu.com/N0264HI
手札が多めのビクトリア〜元工作員は人生をやり直し中〜【書籍発売中・コミック連載中】	守雨	異世界(恋愛)	https://ncode.syosetu.com/N7308HE
転生王女は今日も旗を叩き折る。	ビス	異世界(恋愛)	https://ncode.syosetu.com/N7995CE
【書籍4巻3/10発売】元、落ちこぼれ公爵令嬢です。（WEB版）	一分咲	異世界(恋愛)	https://ncode.syosetu.com/N7529GB
悪役令嬢は溺愛ルートに入りました！？	十夜	異世界(恋愛)	https://ncode.syosetu.com/N2907GA
今度は絶対に邪魔しませんっ！	空谷玲奈	異世界(恋愛)	https://ncode.syosetu.com/N8433EB
【コミカライズ配信中】愛さないといわれましても～元魔王の伯爵令嬢は生真面目軍人に餌付けをされて幸せになる【１巻発売中】	豆田　麦	異世界(恋愛)	https://ncode.syosetu.com/N3507HO
僕は婚約破棄なんてしませんからね	ジュピタースタジオ	異世界(恋愛)	https://ncode.syosetu.com/N3708FP
悪役令嬢の中の人【書籍化・コミカライズ】	まきぶろ	異世界(恋愛)	https://ncode.syosetu.com/N6682GF
【書籍化・コミカライズ】三食昼寝付き生活を約束してください、公爵様	チカフジ　ユキ	異世界(恋愛)	https://ncode.syosetu.com/N1929HB
【書籍化＆コミカライズ】わたし、聖女じゃありませんから	長月 おと	異世界(恋愛)	https://ncode.syosetu.com/N2195GJ
ティアムーン帝国物語　～断頭台から始まる、姫の転生逆転ストーリー～	餅月望	異世界(恋愛)	https://ncode.syosetu.com/N8920EX
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…	山口悟	異世界(恋愛)	https://ncode.syosetu.com/N5040CE
【書籍化・コミカライズ】ループ中の虐げられ令嬢だった私、今世は最強聖女なうえに溺愛モードみたいです（WEB版）	一分咲	異世界(恋愛)	https://ncode.syosetu.com/N7520HG
【書籍化】美人の姉が嫌がったのでどう見ても姿絵が白豚の次期伯爵に嫁ぎましたところ	真波潜	異世界(恋愛)	https://ncode.syosetu.com/N0423GU
義妹が聖女だからと婚約破棄されましたが、私は妖精の愛し子です	桜井ゆきな	異世界(恋愛)	https://ncode.syosetu.com/N7311GE
悪役令嬢の中の人	まきぶろ	異世界(恋愛)	https://ncode.syosetu.com/N2326GF
聖女じゃなかったので、王宮でのんびりご飯を作ることにしました	神山 りお	異世界(恋愛)	https://ncode.syosetu.com/N7222FF
婚約者に裏切られたので、子爵令嬢から王妃付き侍女にジョブチェンジしてみた	雉間ちまこ	異世界(恋愛)	https://ncode.syosetu.com/N2591GI
真の聖女である私は追放されました。だからこの国はもう終わりです【書籍化】	鬱沢色素	異世界(恋愛)	https://ncode.syosetu.com/N7941GH
【書籍化＆コミカライズ】関係改善をあきらめて距離をおいたら、塩対応だった婚約者が絡んでくるようになりました	雨野六月	異世界(恋愛)	https://ncode.syosetu.com/N1691GN
歴史に残る悪女になるぞ	大木戸　いずみ	異世界(恋愛)	https://ncode.syosetu.com/N4006FE
１００日後に死ぬ悪役令嬢は毎日がとても楽しい。（Web版）	ゆいレギナ	異世界(恋愛)	https://ncode.syosetu.com/N8024HD
【番外編】ふつつかな悪女ではございますがWeb版	中村 颯希	異世界(恋愛)	https://ncode.syosetu.com/N6464GI
【WEB版】転生したら１５歳の王妃でした　〜聖女のチートなんて興味がないし、気ままにおいしいごはんを作ります～	斧名田マニマニ	異世界(恋愛)	https://ncode.syosetu.com/N5380FM
【Web版】オリビア魔石宝飾店へようこそ～家と店を追い出されたので、王都に店をかまえたら、なぜか元婚約者と義妹の結婚式に出ろと言われました～	優木凛々	異世界(恋愛)	https://ncode.syosetu.com/N0231HT
弱気MAX令嬢なのに、辣腕婚約者様の賭けに乗ってしまった	小田 ヒロ	異世界(恋愛)	https://ncode.syosetu.com/N9101FY
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。〜ラスボスチートと王女の権威で救える人は救いたい〜	天壱	異世界(恋愛)	https://ncode.syosetu.com/N0692ES
婚約破棄を狙って記憶喪失のフリをしたら、素っ気ない態度だった婚約者が「記憶を失う前の君は、俺にベタ惚れだった」という、とんでもない嘘をつき始めた	琴子	異世界(恋愛)	https://ncode.syosetu.com/N1887GM
【完結】完璧すぎて可愛げがないと婚約破棄された聖女は隣国に売られる【コミックス第２巻発売中】	冬月光輝	異世界(恋愛)	https://ncode.syosetu.com/N5091GJ
やり直し令嬢は竜帝陛下を攻略中	永瀬さらさ	異世界(恋愛)	https://ncode.syosetu.com/N6484FV
【書籍化＆コミカライズ決定】義姉の代わりに、余命一年と言われる侯爵子息様と婚約することになりました	瑪々子	異世界(恋愛)	https://ncode.syosetu.com/N4976HT
転生先で捨てられたので、もふもふ達とお料理します　　　～お飾り王妃はマイペースに最強です～	桜井 悠	異世界(恋愛)	https://ncode.syosetu.com/N7295FL
【コミカライズ・書籍化】ななしの皇女と冷酷皇帝 ～虐げられた幼女、今世では龍ともふもふに溺愛されています～	藍上イオタ	異世界(恋愛)	https://ncode.syosetu.com/N0219GQ
悪虐聖女ですが、愛する旦那さまのお役に立ちたいです。（とはいえ、嫌われているのですが）	雨川 透子	異世界(恋愛)	https://ncode.syosetu.com/N6592HI
後悔するならご勝手に～あなたの選んだ聖女様とどうぞお幸せに～	桜井ゆきな	異世界(恋愛)	https://ncode.syosetu.com/N3941HS
【2巻10/4】嫌われ妻は、英雄将軍と離婚したい！いきなり帰ってきて溺愛なんて信じません。	柊 一葉	異世界(恋愛)	https://ncode.syosetu.com/N0891GG
【コミカライズ】女神様がやっちまいなとの思し召しです	まゆらん	異世界(恋愛)	https://ncode.syosetu.com/N0585HM
聖女が来るから君を愛することはないと言われたのでお飾り王妃に徹していたら、夫と聖女の様子がおかしいのですが	宮之みやこ＠「5歳聖女」3/10発売	異世界(恋愛)	https://ncode.syosetu.com/N0353HO
家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら	琴子	異世界(恋愛)	https://ncode.syosetu.com/N8020GN
謙虚、堅実をモットーに生きております！	ひよこのケーキ	現実世界(恋愛)	https://ncode.syosetu.com/N4029BS
 お隣の天使様にいつの間にか駄目人間にされていた件	佐伯さん	現実世界(恋愛)	https://ncode.syosetu.com/N8440FE
お見合いしたくなかったので、無理難題な条件をつけたら同級生が来た件について【第六巻　スニーカー文庫より12／28発売！】	桜木桜	現実世界(恋愛)	https://ncode.syosetu.com/N5135GG
【web版】クラスで陰キャの俺が実は大人気バンドのボーカルな件	夜桜ユノ【『クラスで陰キャ』コミック発売しました！】	現実世界(恋愛)	https://ncode.syosetu.com/N4814FW
俺にトラウマを与えた女子達がチラチラ見てくるけど、残念ですが手遅れです	御堂ユラギ	現実世界(恋愛)	https://ncode.syosetu.com/N7981GJ
【書籍化】有名Vtuberの兄だけど、義妹が配信切り忘れたら、なぜか俺が有名になった～陰キャだからと振られた俺が、超人気ブラコン妹の兄として注目され、期待の新人Vとしてデビューするけど今更なんですか？	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N1726HU
【WEB版】高校生WEB作家のモテ生活 「あんたが神作家なわけないでしょ」と僕を振った幼馴染が後悔してるけどもう遅い【書籍版好評発売中！】	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N5038GY
日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人	アサヒ	現実世界(恋愛)	https://ncode.syosetu.com/N1456GM
風間君の嘘は彼女達にはバレバレです　～入れ替わりは元に戻ってからがラブコメです！～	まきま	現実世界(恋愛)	https://ncode.syosetu.com/N8023GV
【書籍化】窓際編集とバカにされ、妻に浮気されたその日から、双子JKと同居することになった〜新しい職場と美少女達が家で待つ幸せな新生活を送ってるので、今更有能編集だったと気付いて謝られても相手にしません	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N1202HF
ネトゲの嫁が人気アイドルだった件　～クール系の彼女は現実でも嫁のつもりでいる～	あボーン	現実世界(恋愛)	https://ncode.syosetu.com/N5946GI
夢見る男子は現実主義者	おけまる	現実世界(恋愛)	https://ncode.syosetu.com/N2166FE
実家に帰ったら甘やかされ生活が始まりました	月夜乃 古狸	現実世界(恋愛)	https://ncode.syosetu.com/N7070GZ
【12/1発売】俺は知らないうちに学校一の美少女を口説いていたらしい〜バイト先の相談相手に俺の想い人の話をすると彼女はなぜか照れ始める〜	午前の緑茶	現実世界(恋愛)	https://ncode.syosetu.com/N9850GC
転生先が現代日本人ってふざけんなっ！ って思ったけどそれが普通だし案外充実してる	せん	現実世界(恋愛)	https://ncode.syosetu.com/N1144GO
隣の席になった美少女が惚れさせようとからかってくるがいつの間にか返り討ちにしていた	荒三水	現実世界(恋愛)	https://ncode.syosetu.com/N0672FO
転生者の私に挑んでくる無謀で有望な少女の話	小東のら	現実世界(恋愛)	https://ncode.syosetu.com/N8273DS
